name,team,battingStyle,bowlingStyle,playingRole
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Axar Patel,India,Akshar Patel,Left hand Bat,
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler
Zane Green,Namibia,Left hand Bat,Wicketkeeper,
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter
Wanindu Hasaranga de Silva,Sri Lanka,Right hand Bat,Legbreak,
David Warner,Australia,Lloyd,Left hand Bat,
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Shan Masood,Pakistan,Shaan Masood,Shaani,
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter
Phil Salt,England,Right hand Bat,Right arm Offbreak,
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder
Muhammad Waseem,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Sam Curran,England,Left hand Bat,Left arm Medium fast,
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,
Daryl Mitchell,New Zealand,Moose,Right hand Bat,
Ahmed Raza,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowler
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,
Mehidy Hasan Miraz,Bangladesh,Miraz,Right hand Bat,
Keshav Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Chris Woakes,England,Right hand Bat,Right arm Fast medium,
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder
Vriitya Aravind,United Arab Emirates XI,Right hand Bat,Wicketkeeper,
Mark Wood,England,Right hand Bat,Right arm Fast,
Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Lorcan Tucker,Ireland,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Lockie Ferguson,New Zealand,Lockie,Right hand Bat,
Bhanuka Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,
Zahoor Khan,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,
Usman Ghani,Afghanistan,Right hand Bat,Opening Batter,
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",
Dinesh Karthik,India,Dinesh,Right hand Bat,
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Ashen Bandara,Sri Lanka,Right hand Bat,Legbreak,
Yasir Ali,Bangladesh,Yasir Ali Rabbi,Rabbi,
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder
Finn Allen,New Zealand,Right hand Bat,Occasional Wicketkeeper,Top order Batter
Pat Cummins,Australia,Cummo,Right hand Bat,
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Scott Edwards,Netherlands,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Evin Lewis,West Indies,Left hand Bat,Opening Batter,
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder
Alex Hales,England,Right hand Bat,Right arm Medium,
Quinton de Kock,South Africa,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder
James Neesham,New Zealand,Jimmy Neesham,Left hand Bat,
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,Middle order Batter
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Fareed Ahmad,Afghanistan,Farid Malik,Left hand Bat,
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,
Ebadot Hossain,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler
Jos Buttler,England,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter
Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler
Anrich Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler
Taskin Ahmed,Bangladesh,Tazin,Left hand Bat,
Tony Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Medium fast,
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,
Stephan Myburgh,Netherlands,Left hand Bat,Right arm Offbreak,Opening Batter
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,
Roelof van der Merwe,Netherlands,Roela,Right hand Bat,
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler
Tim David,Australia,Right hand Bat,Right arm Offbreak,
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,Bowler
Nurul Hasan,Bangladesh,Sohan,Right hand Bat,
Colin Ackermann,Netherlands,Ackers,Right hand Bat,
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,
